id,value
Buritis (MG),0
Buritizeiro (MG),0
Cabeceira Grande (MG),0
Cabo Verde (MG),0
Cachoeira de Minas (MG),0
Cachoeira Dourada (MG),0
Caetanópolis (MG),0
Caeté (MG),0
Caiana (MG),0
Cajuri (MG),0
Caldas (MG),12
Camacho (MG),0
Camanducaia (MG),0
Cambuí (MG),0
Cambuquira (MG),8
Campanário (MG),0
Campanha (MG),0
Campestre (MG),0
Campina Verde (MG),0
Campo Azul (MG),0
Campo Belo (MG),0
Campo do Meio (MG),0
Campo Florido (MG),0
Campos Altos (MG),0
Campos Gerais (MG),0
Canaã (MG),0
Canápolis (MG),0
Cana Verde (MG),0
Candeias (MG),0
Cantagalo (MG),0
Caparaó (MG),0
Capela Nova (MG),0
Capelinha (MG),0
Capetinga (MG),0
Capim Branco (MG),0
Capinópolis (MG),0
Capitão Andrade (MG),0
Capitão Enéas (MG),0
Capitólio (MG),0
Caputira (MG),0
Caraí (MG),0
Caranaíba (MG),0
Carandaí (MG),0
Carangola (MG),0
Caratinga (MG),0
Carbonita (MG),0
Careaçu (MG),0
Carlos Chagas (MG),0
Carmésia (MG),0
Carmo da Cachoeira (MG),0
Carmo da Mata (MG),0
Carmo de Minas (MG),0
Carmo do Cajuru (MG),0
Carmo do Paranaíba (MG),0
Carmo do Rio Claro (MG),0
Carmópolis de Minas (MG),0
Carneirinho (MG),0
Carrancas (MG),0
Carvalhópolis (MG),0
Carvalhos (MG),0
Casa Grande (MG),0
Cascalho Rico (MG),0
Cássia (MG),0
Conceição da Barra de Minas (MG),0
Cataguases (MG),0
Catas Altas (MG),0
Catas Altas da Noruega (MG),0
Catuji (MG),0
Catuti (MG),0
Caxambu (MG),0
Cedro do Abaeté (MG),0
Central de Minas (MG),0
Centralina (MG),0
Chácara (MG),0
Chalé (MG),0
Chapada do Norte (MG),0
Chapada Gaúcha (MG),0
Chiador (MG),0
Cipotânea (MG),0
Claraval (MG),0
Claro dos Poções (MG),0
Cláudio (MG),0
Coimbra (MG),0
Coluna (MG),0
Comendador Gomes (MG),0
Comercinho (MG),0
Conceição da Aparecida (MG),0
Conceição das Pedras (MG),0
Conceição das Alagoas (MG),0
Conceição de Ipanema (MG),0
Conceição do Mato Dentro (MG),0
Conceição do Pará (MG),0
Conceição do Rio Verde (MG),0
Conceição dos Ouros (MG),0
Cônego Marinho (MG),0
Confins (MG),0
Congonhal (MG),0
Congonhas (MG),0
Congonhas do Norte (MG),0
Conquista (MG),0
Conselheiro Lafaiete (MG),0
Conselheiro Pena (MG),0
Consolação (MG),0
Contagem (MG),92
Coqueiral (MG),0
Coração de Jesus (MG),0
Cordisburgo (MG),0
Cordislândia (MG),0
Corinto (MG),0
Coroaci (MG),0
Coromandel (MG),0
Coronel Fabriciano (MG),28
Coronel Murta (MG),0
Coronel Pacheco (MG),0
Coronel Xavier Chaves (MG),0
Córrego Danta (MG),0
Córrego do Bom Jesus (MG),0
Córrego Fundo (MG),0
Córrego Novo (MG),0
Couto de Magalhães de Minas (MG),0
Crisólita (MG),0
Cristais (MG),0
Cristália (MG),0
Cristiano Otoni (MG),0
Cristina (MG),0
Crucilândia (MG),0
Cruzeiro da Fortaleza (MG),0
Cruzília (MG),0
Cuparaque (MG),0
Curral de Dentro (MG),0
Curvelo (MG),0
Datas (MG),0
Delfim Moreira (MG),0
Delfinópolis (MG),0
Delta (MG),0
Descoberto (MG),0
Desterro de Entre Rios (MG),0
Desterro do Melo (MG),0
Diamantina (MG),4179
Diogo de Vasconcelos (MG),0
Dionísio (MG),0
Divinésia (MG),0
Divino (MG),0
Divino das Laranjeiras (MG),0
Divinolândia de Minas (MG),0
Divinópolis (MG),1
Divisa Alegre (MG),0
Divisa Nova (MG),0
Divisópolis (MG),0
Dom Bosco (MG),0
Dom Cavati (MG),0
Dom Joaquim (MG),0
Dom Silvério (MG),0
Dom Viçoso (MG),0
Dona Eusébia (MG),0
Dores de Campos (MG),0
Dores de Guanhães (MG),0
Dores do Indaiá (MG),0
Dores do Turvo (MG),0
Doresópolis (MG),0
Douradoquara (MG),0
Durandé (MG),0
Elói Mendes (MG),0
Engenheiro Caldas (MG),0
Engenheiro Navarro (MG),0
Entre Folhas (MG),0
Entre Rios de Minas (MG),0
Ervália (MG),0
Esmeraldas (MG),0
Espera Feliz (MG),0
Espinosa (MG),0
Espírito Santo do Dourado (MG),0
Estiva (MG),0
Estrela Dalva (MG),0
Estrela do Indaiá (MG),0
Estrela do Sul (MG),0
Eugenópolis (MG),0
Extrema (MG),0
Fama (MG),0
Faria Lemos (MG),0
Felício dos Santos (MG),0
São Gonçalo do Rio Preto (MG),0
Felisburgo (MG),0
Felixlândia (MG),0
Fernandes Tourinho (MG),0
Ferros (MG),0
Fervedouro (MG),0
Florestal (MG),8
Formiga (MG),143
Formoso (MG),0
Fortaleza de Minas (MG),2
Fortuna de Minas (MG),0
Francisco Badaró (MG),0
Francisco Dumont (MG),0
Francisco Sá (MG),0
Franciscópolis (MG),0
Frei Gaspar (MG),0
Frei Inocêncio (MG),0
Frei Lagonegro (MG),0
Fronteira (MG),0
Fronteira dos Vales (MG),0
Fruta de Leite (MG),0
Frutal (MG),0
Funilândia (MG),0
Galiléia (MG),0
Gameleiras (MG),0
Glaucilândia (MG),0
Goiabeira (MG),0
Goianá (MG),0
Gonçalves (MG),0
Gonzaga (MG),0
Gouveia (MG),0
Governador Valadares (MG),142
Grão Mogol (MG),0
Grupiara (MG),0
Guanhães (MG),0
Guapé (MG),0
Guaraciaba (MG),0
Guaraciama (MG),0
Guaranésia (MG),0
Guarani (MG),0
Guarará (MG),0
Guarda-Mor (MG),0
Guaxupé (MG),0
Guidoval (MG),0
Guimarânia (MG),0
Guiricema (MG),0
Gurinhatã (MG),0
Heliodora (MG),0
Iapu (MG),0
Ibertioga (MG),0
Ibiá (MG),0
Ibiaí (MG),0
Ibiracatu (MG),0
Ibiraci (MG),0
Ibirité (MG),0
Ibitiúra de Minas (MG),0
Ibituruna (MG),0
Icaraí de Minas (MG),0
Igarapé (MG),0
Igaratinga (MG),0
Iguatama (MG),0
Ijaci (MG),54
Ilicínea (MG),0
