"grande_area","area","subarea","valor"
"Engenharias","Engenharia Sanitária","Qualidade do Ar, das Águas e do Solo","1268658241"
"Ciências Agrárias","Agronomia","Defesa Fitossanitária","1236150763"
"Ciências Exatas e da Terra","Química","Eletroquímica","1235727936"
"Ciências Exatas e da Terra","Ciência da Computação","Banco de Dados","1233460078"
"Ciências Biológicas","Botânica","Ecofisiologia Vegetal","1230913911"
"Ciências Exatas e da Terra","Matemática","Matemática","1224547296"
"Indefinido",NULL,"Indefinido","1221502201"
"Ciências Biológicas","Fisiologia","Fisiologia Cardiovascular","1212313960"
"Ciências Exatas e da Terra","Física","Materiais Magnéticos e Propriedades Magnéticas","1208435293"
"Ciências Biológicas","Farmacologia","Etnofarmacologia","1188187291"
"Ciências Agrárias","Zootecnia","Zootecnia","1187640033"
"Ciências da Saúde","Enfermagem","Enfermagem em Saúde do Adulto e do Idoso","1151024800"
"Engenharias","Engenharia de Produção","Desenvolvimento de Produto","1147273273"
"Lingüística, Letras e Artes","Letras","Letras","1144556626"
"Ciências Exatas e da Terra","Ciência da Computação","Análise de Algoritmos e Complexidade de Computação","1132865265"
"Ciências Exatas e da Terra","Física","Teoria Geral de Partículas e Campos","1130274311"
"Ciências Exatas e da Terra","Geociências","Geoquímica","1129430761"
"Lingüística, Letras e Artes","Lingüística","Filosofia da Linguagem","1121995240"
"Lingüística, Letras e Artes","Lingüística","Lingüística Histórica","1113456243"
"Ciências Biológicas","Imunologia","Imunoquímica","1106597689"
"Ciências Biológicas","Biomedicina","Não informado","1102406642"
"Lingüística, Letras e Artes","Lingüística","Lingüística","1092062893"
"Engenharias",NULL,"Engenharias","1069932492"
"Engenharias","Engenharia Mecânica","Dinâmica dos Corpos Rígidos, Elásticos e Plásticos","1051863032"
"Ciências Exatas e da Terra","Geociências","Climatologia","1041253538"
"Ciências Biológicas","Microbiologia","Microbiologia Industrial e de Fermentação","1040324841"
"Ciências Exatas e da Terra","Áreas Tecnológicas de Física e Matemática","Não informado","1027930000"
"Engenharias","Engenharia Sanitária","Planejamento Integrado dos Recursos Hídricos","1025437551"
"Ciências Exatas e da Terra","Geociências","Geofísica Aplicada","1025418457"
"Ciências Biológicas","Zoologia","Fisiologia dos Grupos Recentes","1021301658"
"Engenharias","Engenharia Química","Processos Orgânicos","1016092720"
"Ciências Humanas","Antropologia","Antropologia","1014982498"
"Ciências Agrárias","Agronomia","Agrometeorologia","1012956582"
"Ciências Agrárias","Agronomia","Fisiologia de Plantas Cultivadas","1006241981"
"Engenharias","Engenharia Elétrica","Teoria Eletromagnetica, Microondas, Propagação de Ondas, Antenas","1004815937"
"Ciências da Saúde","Farmácia","Farmácia","1004577444"
"Ciências Exatas e da Terra","Ciência da Computação","Modelos Analíticos e de Simulação","996150547"
"Engenharias","Engenharia Mecânica","Processos de Fabricação, Seleção Econômica","989855607"
"Ciências Exatas e da Terra","Astronomia","Instrumentação Astronômica","988325526"
"Ciências Agrárias","Agronomia","Manejo e Conservação do Solo","983647712"
"Ciências da Saúde","Enfermagem","Enfermagem de Doenças Contagiosas","983630153"
"Ciências Exatas e da Terra","Matemática","Sistemas Dinâmicos","973946364"
"Engenharias","Engenharia de Produção","Gerência do Projeto e do Produto","969135183"
"Engenharias","Engenharia Química","Tratamentos e Aproveitamento de Rejeitos","968394301"
"Ciências Sociais Aplicadas","Economia","Economia","966464081"
